276822,0786817070,10
278310,0432534220,2
8448,0432534220,10
9490,059035342X,10
10199,0316666343,7
11768,0971880107,8
12272,043935806X,10
12272,0971880107,10
13088,0971880107,6
19905,0316666343,9
26806,0971880107,9
28594,059035342X,9
38654,0440219078,5
44472,0786817070,10
50143,0440219078,9
53284,0786817070,10
58297,0971880107,6
66428,0971880107,7
68000,0786817070,10
71079,0432534220,10
76901,0971880107,7
81263,0316666343,9
87938,043935806X,8
87938,059035342X,8
88142,0971880107,9
88435,043935806X,10
88435,059035342X,10
93126,0440219078,10
93274,0971880107,3
98628,0971880107,1
100682,0971880107,8
101538,0971880107,7
108081,0440219078,4
111162,0971880107,9
115548,0432534220,8
115655,0440219078,10
116534,0316666343,8
120081,0971880107,4
122086,0971880107,3
125203,0786817070,5
125749,0316666343,10
130594,0971880107,8
138467,0440219078,9
140264,0971880107,7
140565,0971880107,6
144732,0432534220,5
145761,0971880107,5
155692,0432534220,8
160241,0971880107,10
161068,0971880107,1
164048,043935806X,10
165371,0971880107,5
181048,0432534220,8
187745,0971880107,8
188396,059035342X,9
192979,0971880107,7
196191,0440219078,8
196288,043935806X,10
197792,0971880107,3
218290,0971880107,1
219951,0786817070,9
222277,0971880107,7
224525,0971880107,10
224606,0971880107,2
234784,0971880107,4
243004,0786817070,10
243075,0971880107,8
245504,0971880107,7
245790,059035342X,10
248316,0432534220,7
248717,0971880107,8
250832,0316666343,8
257069,0971880107,7
263344,0316666343,9
264525,0316666343,9
264525,043935806X,10
267727,0971880107,9
