276747,0060517794,9
276986,0060930187,10
276986,0375760911,10
276986,0689817851,10
277018,0373250223,7
277554,0345392825,9
277554,0345435168,3
277619,0618002219,8
277922,0440225701,6
277922,0553580191,9
277959,0156027321,8
277959,0767905385,6
278137,0345337662,7
278137,0440940001,8
278137,0446606812,7
278137,0671525808,9
278137,0804106304,8
278137,1558744150,9
278254,0671027360,8
278552,0553573616,9
278552,0671021001,7
278552,0671510053,8
278683,0446364495,1
278843,0060173289,9
278843,0060517794,7
278843,014028009X,8
278843,0142000205,9
278843,0399146431,9
278843,0440211263,7
278843,0553274503,8
278843,059035342X,8
278843,0767902890,9
278843,0786881852,8
278844,0345387651,6
278844,0679781587,7
254,0064471047,7
254,0142001740,9
254,0380789035,10
254,0380973650,9
254,0399146431,9
254,0439064864,9
254,0439064872,9
254,0439136350,9
254,0439136369,9
254,0439139597,9
254,0451167317,8
254,0451524934,9
254,0451526341,8
254,0590353403,9
254,0618002219,9
254,0618002227,8
254,0671021001,7
254,0679781587,8
424,0671021001,6
424,0805063897,8
638,0316666343,10
638,0316693006,10
638,0316769487,10
638,0316776963,10
638,0316779423,10
638,0316969443,10
638,0345339711,10
638,0385420161,9
638,0385504209,10
638,0385505833,10
638,0446525537,9
638,0446531332,10
638,0670892963,7
638,0679442790,10
638,0679732241,9
638,0679746048,7
638,1558747028,10
651,0060934719,8
651,0786886463,7
685,0743211383,10
843,006019491X,8
882,0064401847,10
882,0380018179,10
882,0385504209,10
882,0425179672,10
882,0440235162,10
882,0515135062,6
882,0553250426,10
882,0553572997,10
882,0679429220,9
882,067976402X,10
882,0679781587,10
900,0060928336,9
936,0679781587,5
965,0805063889,9
999,0441003257,7
1113,0385324057,9
1155,0373250223,8
1167,0440224675,8
1180,0812565959,10
1254,0679781587,9
1254,0894805770,10
1254,089480829X,10
1309,0316969680,7
1377,0440224764,8
1389,0553572997,9
1427,0062502182,10
1489,0385492081,8
1511,0345391802,9
1515,0671027344,9
1530,044023722X,8
1548,034540288X,5
1548,0452282152,8
1554,0440237688,9
1585,0316182540,7
1585,0449212602,8
1585,0684867621,4
1597,0316569321,7
1597,0679732241,4
1608,0449212602,10
1641,0553375407,7
1674,0345384466,7
1674,0375725784,10
1706,0345392825,5
1706,0451524934,10
1718,0743418174,8
1759,067164257X,8
1768,0440226430,10
1790,044022165X,5
1790,0671793489,8
1812,0671708635,7
1848,0156027321,10
1848,0345342968,10
1848,0345378482,8
1848,0345417623,8
1848,0345443683,9
1848,0451169530,5
1848,0684818868,10
1848,0786868716,10
1848,0812511816,10
1848,0812550706,8
1869,0425122123,8
1989,0684862719,9
2033,0060248025,10
2033,0345337662,5
2033,0439064864,9
2033,0439136350,9
2033,0439139597,9
2033,043935806X,9
2033,0553573136,8
2033,0590353403,9
2033,0671524313,6
2033,0765342987,10
2033,0812575717,10
2033,0886774012,9
2295,0062502182,6
2313,0060173289,9
2313,0345348036,9
2313,0385482388,5
2313,0399146431,5
2313,0452260116,9
2313,0553278223,7
2340,0373250290,4
2358,0451160312,6
2375,0345465083,7
2375,0671003755,9
2439,0380002930,10
2892,0684857820,9
2977,0142001430,7
2977,0316569321,7
2977,037570504X,5
2977,0375725784,3
2977,0452282152,7
2977,0671021001,9
2977,0671496107,10
3104,0805063897,8
3194,0875421180,10
3243,0385498721,7
3350,0140293248,6
3350,0316096199,8
3350,0385335830,8
3350,0804106304,10
3363,006098824X,10
3363,0316096199,10
3363,0345453387,8
3363,0373250118,7
3363,0373250126,8
3363,0373250207,10
3363,0373250223,9
3363,0446672211,10
3363,0553213164,10
3363,0671027344,9
3371,0070212570,10
3371,0425175405,8
3371,0440226430,9
3371,0451169530,10
3472,0156711427,10
3509,0743486226,8
3514,0385336179,9
3546,0142002267,8
3605,0451147367,5
3693,0441003257,8
3817,0380018179,8
3817,0385479565,9
3817,0425152251,6
3817,0440206154,7
3817,0440967694,10
3817,0671758896,8
3827,014029628X,6
3827,0345337662,7
3827,0345348036,9
3827,0345351525,8
3827,034538475X,8
3827,0345409671,8
3827,0345413350,7
3827,0345423402,7
3827,0553562614,10
3827,0765342987,10
3827,0804114986,10
3865,038079487X,7
3910,0786866586,7
3975,0375760911,9
4092,0451176464,6
4092,0671027360,7
4784,0971880107,2
5034,0425170349,10
5037,0440211727,10
5037,0440213525,8
5037,0440214041,9
5037,0440221471,10
5037,0440226430,6
5037,0446608955,8
5037,0671695142,3
5037,0671729462,3
5037,0671867113,4
5037,0743225406,3
5451,067088300X,8
5452,0446600253,8
5452,0671039830,5
5582,0060987324,8
5582,014028009X,10
5582,0140293248,9
5582,0312966970,10
5582,0312976275,10
5582,0345301110,7
5582,0345409671,10
5582,0345423402,10
5582,0375401598,7
5582,0380789035,9
5582,0380820293,8
5582,0385484011,10
5582,0425152251,10
5582,0425181685,10
5582,0440108268,8
5582,0441005748,10
5582,044651652X,7
5582,0451191137,10
5582,0451191145,10
5582,0451191153,10
5582,0452281423,7
5582,0452281431,6
5582,0452281458,5
5582,0515093556,7
5582,0553212451,9
5582,0679454470,7
5582,0679720200,10
5582,067973225X,10
5582,0679785892,9
5582,087542791X,8
5582,0894803204,10
5582,1558744150,5
5722,0060930535,8
5722,0385504209,7
5722,0385721420,5
5728,0451163524,8
5728,0451166582,9
5728,0451194861,10
5728,0452280621,9
5728,0743457358,8
5867,0452281423,10
5956,0842329129,5
6073,0345347536,8
6073,0345427637,6
6073,0380002930,10
6073,0385474547,9
6073,0440211727,6
6073,0440214041,5
6073,0440226430,6
6073,0553213105,8
6073,0553273914,9
6073,0679723161,10
6073,0679735909,10
6073,0767902890,10
6073,0802130208,10
6102,0142001805,9
6102,0375703861,8
6102,1573229326,4
6247,0316969443,10
6318,0671042858,6
